#The following germline copy number transition matrix is obtained from analyzing Genome STRiP calls on a cohort of 170 blood normal TCGA samples
T_MATRIX_AUTOSOMAL	FROM_0	FROM_1	FROM_2	FROM_3	FROM_4	FROM_5	FROM_6	FROM_7	FROM_8	FROM_9	FROM_10
TO_0	0.9997389770672177	2.1467075095351557e-07	5.9100196666398515e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TO_1	7.032645704368021e-07	0.99981467801052126	1.376696014985822e-07	1.1958483005083788e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TO_2	0.00026031966821188487	0.00018510163208542175	0.99999972823891037	9.7745650462803608e-05	0.00010292959512329779	8.0138884782014782e-05	9.0232386606850211e-05	7.9777767777145916e-05	7.5782475345150855e-05	8.8396952830754563e-05	8.9130531663621367e-05
TO_3	0.0	5.6866424093646516e-09	3.4570453537193609e-08	0.99990217064015618	6.1564638523662337e-08	1.1699107267447413e-07	4.469162288600803e-08	0.0	0.0	0.0	0.0
TO_4	0.0	0.0	3.3588164155451664e-08	5.6802794274147987e-08	0.99989682090607845	1.1699107267447413e-07	2.4133476358444333e-06	0.0	0.0	0.0	0.0
TO_5	0.0	0.0	2.8971721269891569e-09	1.1958483005083788e-08	1.2960976531297335e-08	0.99991953938976808	1.3407486865802407e-07	0.0	0.0	0.0	0.0
TO_6	0.0	0.0	2.1348140599967544e-09	2.989620751270947e-09	1.7497318317251403e-07	8.7743304505855591e-08	0.99990713080764293	1.0766230469250462e-07	0.0	0.0	0.0
TO_7	0.0	0.0	7.8350530879524278e-10	0.0	0.0	0.0	4.469162288600803e-08	0.99992011456991814	0.0	0.0	0.0
TO_8	0.0	0.0	9.4105226022640503e-10	0.0	0.0	0.0	0.0	0.0	0.99992421752465488	0.0	0.0
TO_9	0.0	0.0	5.9212277047953571e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.9999116030471692	0.0
TO_10	0.0	0.0	4.2294483605681122e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99991086946833641
