CHR	POS	ID	HOMREF	HET	HOMVAR
1	8216712	rs11121115	NaN	46.0	NaN
1	17032814	rs2773183	NaN	109.0	NaN
1	47818917	rs12749507	78.0	96.0	NaN
1	59635894	rs331648	70.0	71.0	NaN
1	69502962	rs12724640	NaN	NaN	38.0
1	80481528	rs61774278	62.0	61.0	45.0
1	90146546	rs7512447	NaN	NaN	84.0
1	100763317	rs6681810	NaN	NaN	62.0
1	110091282	rs1279195	24.0	38.5	NaN
1	146610795	rs58742099	87.0	87.0	NaN
1	156248265	rs12038203	47.5	50.0	NaN
1	165431906	rs7528908	93.0	83.0	NaN
1	175207612	rs11484568	80.0	68.0	NaN
1	186656152	rs4422959	96.0	78.0	NaN
1	195392852	rs2119441	NaN	78.5	84.0
1	204945934	rs6657372	41.0	50.0	35.0
1	216407409	rs3767692	NaN	90.0	102.5
1	226163330	rs10915914	44.0	38.5	NaN
1	243135892	rs7517403	NaN	55.0	58.0
2	1143476	rs4998209	66.0	61.5	NaN
2	9240279	rs56249990	67.0	75.0	71.0
2	18016237	rs12710649	NaN	76.0	NaN
2	28790711	rs34787802	80.5	71.0	NaN
2	36994439	rs11124542	NaN	60.0	NaN
2	45429089	rs13418430	96.0	93.5	NaN
2	54408283	rs55993481	73.0	74.5	NaN
2	64848970	rs35473866	69.5	79.0	NaN
2	85513238	rs62162679	39.0	49.0	NaN
2	96514373	rs10186946	47.0	64.0	NaN
2	117966808	rs333847	NaN	NaN	90.0
2	127445050	rs113647072	NaN	51.5	51.0
2	144289763	rs7607879	NaN	80.0	NaN
2	155726628	.	NaN	NaN	59.0
2	167166899	.	NaN	40.0	119.0
2	177175707	rs7355385	79.0	65.0	62.0
2	187694833	rs10191094	79.5	77.0	NaN
2	198567638	rs12619333	76.0	82.0	NaN
2	209758643	rs12992166	36.0	63.5	NaN
2	228532558	rs6436725	104.0	89.0	70.0
2	237156689	rs13390270	66.0	73.0	NaN
3	1609737	rs2648459	NaN	NaN	62.0
3	8399330	rs6770171	NaN	75.0	89.0
3	17501103	.	51.0	52.5	NaN
3	26960556	rs4422260	73.0	73.5	NaN
3	48757773	rs61137521	NaN	60.5	51.0
3	60283791	rs10154846	69.0	66.0	NaN
3	68765638	rs1504297	NaN	75.0	75.0
3	76722766	rs264537	69.0	64.0	NaN
3	86234718	rs2324883	NaN	NaN	77.0
3	99106655	rs2623376	76.0	57.5	NaN
3	108612711	rs2399252	NaN	82.0	NaN
3	128140891	rs73201490	50.0	46.0	NaN
3	137840974	rs2622698	NaN	NaN	78.0
3	148344553	rs62274102	69.0	85.0	78.0
3	158557110	rs34445802	68.0	84.5	NaN
3	179020937	rs13082816	NaN	29.0	24.0
3	189981901	.	95.0	89.5	NaN
3	197056886	rs7612900	NaN	NaN	75.0
4	6333669	rs35678078	NaN	67.0	NaN
4	12652343	rs13114660	44.5	38.0	NaN
4	21819269	rs4285068	NaN	NaN	73.0
4	30898977	rs4386561	75.0	78.0	NaN
4	39062189	rs2566127	NaN	67.0	NaN
4	48922864	rs7697262	NaN	NaN	31.0
4	57135985	rs1715504	55.0	59.0	NaN
4	64522064	rs4860541	NaN	NaN	67.0
4	71449060	rs60358213	54.0	86.0	NaN
4	82427976	rs6841516	57.5	51.0	NaN
4	103859292	rs7676943	NaN	NaN	73.0
4	122900130	rs4833786	89.0	77.5	NaN
4	132671861	rs6856716	172.0	222.5	NaN
4	141514835	rs55984232	65.0	63.0	NaN
4	161180100	rs167176	NaN	68.0	NaN
4	169085855	rs2251558	80.5	83.0	NaN
